City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cefalu,IT,38.0386,14.0229,100.74,25,24,3.0,few clouds
80,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,19.57,broken clouds
81,Aykhal,RU,66.0,111.5,42.49,86,93,13.06,overcast clouds
82,Cayenne,GF,4.9333,-52.3333,86.04,66,75,10.36,broken clouds
83,Santa Rosa,PH,14.3122,121.1114,80.11,92,100,2.15,overcast clouds
84,Hithadhoo,MV,-0.6,73.0833,81.75,77,99,12.37,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,39.81,89,100,2.46,overcast clouds
86,Bucerias,MX,20.75,-105.3333,86.99,71,99,1.5,overcast clouds
87,Manokwari,ID,-0.8667,134.0833,77.29,81,6,6.2,clear sky
88,Kushmurun,KZ,52.4503,64.6311,52.75,55,66,8.86,broken clouds
89,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,20,6.91,few clouds
90,Faya,SA,18.3851,42.4509,71.71,66,93,5.59,overcast clouds
91,Abu Kamal,SY,34.4506,40.9171,98.47,13,0,9.06,clear sky
92,Barrow,US,71.2906,-156.7887,34.84,92,100,19.04,overcast clouds
93,Vestmanna,FO,62.1564,-7.1664,52.72,87,100,19.57,overcast clouds
94,Pinawa,CA,50.1489,-95.8811,63.73,96,100,5.68,light rain
95,Nome,US,64.5011,-165.4064,43.16,95,100,1.92,overcast clouds
96,Pangnirtung,CA,66.1451,-65.7125,44.6,81,75,11.5,broken clouds
97,Hilo,US,19.7297,-155.09,80.28,94,100,5.75,light rain
98,Burla,IN,21.5,83.8667,78.75,87,100,5.35,light rain
99,Pevek,RU,69.7008,170.3133,38.97,75,0,2.71,clear sky
100,Mount Gambier,AU,-37.8333,140.7667,44.71,82,8,7.83,clear sky
101,Hit,IQ,33.6416,42.8251,100.74,16,0,10.18,clear sky
102,Victoria,HK,22.2855,114.1577,84.38,81,96,5.99,overcast clouds
103,Torbay,CA,47.6666,-52.7314,64.76,95,100,6.91,mist
104,Yellowknife,CA,62.456,-114.3525,70.32,68,75,14.97,broken clouds
105,Poso,ID,-1.3959,120.7524,75.36,86,85,4.79,overcast clouds
106,Mataura,NZ,-46.1927,168.8643,48.42,95,94,3.15,overcast clouds
107,Boa Vista,BR,2.8197,-60.6733,85.98,66,40,11.5,scattered clouds
108,Les Ponts-De-Ce,FR,47.4231,-0.5248,81.07,49,39,13.11,scattered clouds
109,Fortuna,US,40.5982,-124.1573,59.67,100,100,0.0,overcast clouds
110,Bam,IR,29.106,58.357,87.84,11,91,8.88,overcast clouds
111,Mokrousovo,RU,55.8103,66.7653,44.56,76,64,7.02,broken clouds
112,Saint-Augustin,CA,51.226,-58.6502,63.52,67,100,11.14,overcast clouds
113,Sinnamary,GF,5.3833,-52.95,83.07,77,37,11.88,scattered clouds
114,Mizan Teferi,ET,6.9833,35.5833,61.09,97,75,2.24,light rain
115,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,16.11,light rain
116,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,25.32,light rain
117,Udachnyy,RU,66.4167,112.4,43.45,93,96,21.54,overcast clouds
118,Kathu,TH,7.9178,98.3332,85.69,99,87,9.53,overcast clouds
119,Ganzhou,CN,28.8184,115.4327,86.36,59,67,1.92,broken clouds
120,Christchurch,NZ,-43.5333,172.6333,55.6,71,100,8.05,overcast clouds
121,Vokhma,RU,58.9303,46.7586,62.19,74,4,6.08,clear sky
122,Vieques,PR,18.425,-65.8329,87.71,74,85,12.84,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,40.03,74,77,4.32,broken clouds
124,Mahebourg,MU,-20.4081,57.7,71.26,83,20,6.91,few clouds
125,Belyy Yar,RU,53.6039,91.3903,49.89,81,0,2.24,clear sky
126,Malartic,CA,48.1335,-78.1328,77.11,35,95,4.12,overcast clouds
127,Irtyshskiy,RU,58.3333,68.1333,47.64,85,100,7.05,overcast clouds
128,Siocon,PH,7.7061,122.1353,77.61,90,99,5.57,moderate rain
129,Ambilobe,MG,-13.2,49.05,70.65,75,1,2.51,clear sky
130,Vanavara,RU,60.34,102.2797,49.46,97,100,6.06,moderate rain
131,Hasaki,JP,35.7333,140.8333,75.6,78,0,9.53,clear sky
132,Tulun,RU,54.5611,100.5792,43.21,94,86,4.25,overcast clouds
133,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.43,16,2,15.59,clear sky
134,Gupitan,PH,7.7758,125.6406,72.77,95,95,1.39,overcast clouds
135,Vao,NC,-22.6667,167.4833,68.47,58,12,11.79,few clouds
136,San Cristobal,VE,7.7669,-72.225,82.58,33,0,8.66,clear sky
137,Bud,US,39.447,-86.1758,81.68,61,40,3.94,scattered clouds
138,Piterka,RU,50.6803,47.4454,83.12,27,100,24.2,overcast clouds
139,Arkhangelskoye,RU,55.8549,35.3287,69.53,59,0,6.58,clear sky
140,Port Elizabeth,ZA,-33.918,25.5701,58.32,98,75,6.91,broken clouds
141,Dudinka,RU,69.4058,86.1778,45.63,70,1,10.56,clear sky
142,Touros,BR,-5.1989,-35.4608,83.23,60,12,20.31,few clouds
143,Sabang,ID,5.8933,95.3214,83.1,74,40,12.03,scattered clouds
144,Puertollano,ES,38.6871,-4.1073,86.16,19,0,7.49,clear sky
145,Chokurdakh,RU,70.6333,147.9167,47.71,80,50,9.69,scattered clouds
146,Mayya,RU,61.7333,130.2811,51.12,96,18,3.24,few clouds
147,Geraldton,AU,-28.7667,114.6,45.01,87,99,6.91,overcast clouds
148,Asau,RO,46.4333,26.4,76.28,73,46,4.38,scattered clouds
149,Mehamn,NO,71.0357,27.8492,53.55,62,0,9.22,clear sky
150,Alta Floresta,BR,-9.8756,-56.0861,96.62,34,40,5.75,smoke
151,Mathathane,BW,-22.2687,28.7495,81.19,11,45,10.42,scattered clouds
152,Gat,IL,31.61,34.7642,82.4,100,0,6.73,clear sky
153,Baykit,RU,61.67,96.37,49.78,90,100,4.34,overcast clouds
154,Ahipara,NZ,-35.1667,173.1667,63.27,95,100,21.47,light rain
155,Babol,IR,36.5513,52.679,84.18,70,0,2.3,clear sky
156,Emerald,AU,-23.5333,148.1667,53.76,56,0,4.5,clear sky
157,Sfantu Gheorghe,RO,45.8667,25.7833,70.27,69,81,4.59,broken clouds
158,Nioro,GM,13.35,-15.75,80.73,83,90,6.96,moderate rain
